name,slug,denominations,denomination_type,rate
Malooba,malooba,"[50,100]",FIXED,4
JW Marriott,jw-marriott,"[100,250,350,500,850]",FIXED,9
JW Marriott,jw-marriott,"[25,2000]",VARIABLE,4.5
Mai Tai Bar,mai-tai-bar,"[25,500]",VARIABLE,10.5
FanDuel Sports Network,fanduel-sports-network,"[25,250]",VARIABLE,9
Landry's Seafood House,landrys-seafood-house,"[25,500]",VARIABLE,10.5
HotelsGift,hotelsgift,"[50,2000]",VARIABLE,5.5
Pay It Down Auto,pay-it-down-auto,"[20,1900]",VARIABLE,7
Fanatics,fanatics,"[10,500]",VARIABLE,8.5
Orient Express,orient-express,"[25,50,100]",FIXED,4.5
Razer Gold,razer-gold,"[10,20,49.5,50,99.5,100,200,300,400,500]",FIXED,4.5
Razer Gold,razer-gold,"[10,500]",VARIABLE,4
Pizza Hut,pizza-hut,[10],FIXED,3
National Park Foundation - Charity on Top,national-park-foundation,"[10,500]",VARIABLE,7.5
Strip House,strip-house,"[25,500]",VARIABLE,10.5
NFL Shop,nfl-shop,"[10,500]",VARIABLE,8.5
St. Regis,st-regis,"[100,250,350,500,850]",FIXED,9
St. Regis,st-regis,"[25,2000]",VARIABLE,4.5
Neiman Marcus,neiman-marcus,"[250,499.99,500]",FIXED,4
CB2,cb2,"[10,1000]",VARIABLE,6
Shaw's,shaws,"[10,250]",VARIABLE,3
GreenRow,greenrow,"[25,1000]",VARIABLE,5
Courtyard,courtyard,"[100,250,350,500,850]",FIXED,9
Courtyard,courtyard,"[25,2000]",VARIABLE,4.5
Overstock,overstock,"[10,500]",VARIABLE,5
SureStay Plus,surestay-plus,"[25,1000]",VARIABLE,7.5
iFLY,ifly,"[25,500]",VARIABLE,7
Home Sense,home-sense,"[10,500]",VARIABLE,5.5
Happy Card/One4all Holiday - Happy Holidays Dining,happy-card-one4all-holiday-happy-holidays-dining,"[25,500]",VARIABLE,4
Grubhub,grubhub,"[25,500]",VARIABLE,5
Kirkland's,kirklands,"[25,500]",VARIABLE,10.5
The Melting Pot,The-Melting-Pot,"[10,100]",VARIABLE,8.5
W. W. Cousins,w-w-cousins,"[10,250]",VARIABLE,10.5
Spa Week,spa-week,"[10,500]",VARIABLE,16.5
Granite City Brewery,granite-city-brewery,"[20,250]",VARIABLE,8.5
Airalo,airalo,"[10,20,50]",FIXED,6
Black Angus Steakhouse,black-angus-steakhouse,"[15,200]",VARIABLE,10.5
Zaxby's,zaxbys,"[10,250]",VARIABLE,10
Aerie,aerie,"[25,50,105,250]",FIXED,11
Aerie,aerie,"[15,200]",VARIABLE,7
Aeropostale,aeropostale,"[25,50,100,250]",FIXED,15
Aeropostale,aeropostale,[33.5],FIXED,11
Aeropostale,aeropostale,"[10,500]",VARIABLE,9
For the love of Dining,for-the-love-of-dining,"[20,1900]",VARIABLE,7
Disney Hilton Head Island Resort,disney-hilton-head-island-resort,"[50,100]",FIXED,5
Disney Hilton Head Island Resort,disney-hilton-head-island-resort,"[15,500]",VARIABLE,4
Kigso Games,kigso-games,[15],FIXED,15
Conoco,conoco,"[10,500]",VARIABLENOCENTS,1.5
Dunkin',dunkin,"[10,100]",VARIABLE,3
Made In Cookware,made-in-cookware,"[25,50,100,200]",FIXED,11
Disney Store,disney-store,"[50,100]",FIXED,5
