name,slug,denominations,denomination_type,rate
Pickleball Central,pickleball-central,"[25,500]",VARIABLE,11
Best Buy,best-buy,"[10,500]",VARIABLE,3
Miller's Ale House,millers-ale-house,"[10,500]",VARIABLE,7.5
Peohe's,peohes,"[25,500]",VARIABLE,10.5
Aquarium,aquarium,"[25,500]",VARIABLE,10.5
Castle Clash,castle-clash,"[10,20,50,100]",FIXED,3.5
Buffalo Wild Wings,buffalo-wild-wings,"[100,105]",FIXED,15
Buffalo Wild Wings,buffalo-wild-wings,"[10,200]",VARIABLE,6
The Post Oak Hotel at Uptown Houston,the-post-oak-hotel-at-uptown-houston,"[25,500]",VARIABLE,10.5
GNC,gnc,"[10,500]",VARIABLE,6
Nasty Gal,nasty-gal,"[10,500]",VARIABLE,4.5
Arby's,Arbys,"[10,150]",VARIABLE,5
Bertucci's,bertuccis,"[25,500]",VARIABLE,12.5
Pappas Restaurants,pappas-restaurants,"[20,250]",VARIABLE,9.5
Williams Sonoma,williams-sonoma,"[25,1000]",VARIABLE,5
Wayfair,wayfair,[100],FIXED,8
Wayfair,wayfair,"[25,500]",VARIABLE,6
Legal Sea Foods,legal-sea-foods,"[10,500]",VARIABLE,10.5
Quiznos,quiznos,"[10,500]",VARIABLE,8.5
Sonic Drive-In,sonic,"[10,100]",VARIABLE,5.5
NetDragon Universal,netdragon-universal,"[10,25]",FIXED,6
Hanna Andersson,hanna-andersson,"[25,500]",VARIABLE,8
Guess,guess,"[15,500]",VARIABLE,9
Xbox EA Sports FC 24 -5900 FC Points,xbox-ea-sports-fc-24-5900-fc-points,[49.99],FIXED,5
Qdoba Mexican Eats,Qdoba,"[25,250]",VARIABLE,8.5
For the love of Entertainment,for-the-love-of-entertainment,"[20,1900]",VARIABLE,7
Cole Haan,Cole-Haan,[130],FIXED,10
Brinker Restaurants,brinker-restaurants,"[10,100]",VARIABLE,7.5
Poshmark,poshmark,"[25,500]",VARIABLE,7
STK Steakhouse,stk-steakhouse,"[20,250]",VARIABLE,9.5
Field & Stream,field-stream,[100],FIXED,4
Field & Stream,field-stream,"[10,500]",VARIABLE,3
Boscov's,boscovs,"[15,250]",VARIABLE,7
Topgolf,topgolf,"[20,250]",VARIABLE,7.5
Crate&Kids,cratekids,"[10,1000]",VARIABLE,6
Chubbies,chubbies,"[25,500]",VARIABLE,8
Cracker Barrel,cracker-barrel,"[10,300]",VARIABLE,8.5
Delta Air Lines,delta-air-lines,"[50,100]",FIXED,7
Delta Air Lines,delta-air-lines,"[50,1000]",VARIABLE,5
Cadillac Bar,cadillac-bar,"[25,500]",VARIABLE,10.5
Golf Galaxy,golf-galaxy,[100],FIXED,4
Golf Galaxy,golf-galaxy,"[10,500]",VARIABLE,3
ZWILLING,zwilling,"[25,500]",VARIABLE,9.5
Firebirds Wood Fired Grill,Firebirds-Wood-Fired-Grill,"[25,500]",VARIABLE,14
Alamo Drafthouse Cinema,alamo-drafthouse,"[25,50]",FIXED,10.5
Alamo Drafthouse Cinema,alamo-drafthouse,"[25,500]",VARIABLE,9.5
Jersey Mike's,jersey-mikes-subs,"[20,200]",VARIABLE,8.5
For the love of Office,for-the-love-of-office,"[20,1900]",VARIABLE,7
PGA TOUR Superstore,PGA-TOUR-Superstore,"[25,500]",VARIABLE,10.5
Pay It Down Utilities,pay-it-down-utilities,"[20,1900]",VARIABLE,7
La Griglia,la-griglia,"[25,500]",VARIABLE,10.5
Phillips 66,phillips-66,"[10,500]",VARIABLENOCENTS,1.5
Adventure & Touring by Inspire,adventure-touring-by-inspire,"[10,1000]",VARIABLE,4
Tire Discounters,tire-discounters,"[20,500]",VARIABLE,9.5
Princess Cruises,princess-cruises,"[25,2000]",VARIABLE,6
Catherines,catherines,"[20,250]",VARIABLE,10.5
Wondery,wondery,"[34.99,44.99]",FIXED,10
Sofitel Hotels & Resort,sofitel-hotels-resort,"[25,50,100]",FIXED,4.5
Disney on Broadway,disney-on-broadway,"[50,100]",FIXED,5
Disney on Broadway,disney-on-broadway,"[15,500]",VARIABLE,4
GoodCards,goodcards,"[5,2000]",VARIABLE,3.1
Eddie Bauer,eddie-bauer,"[15,500]",VARIABLE,7.5
BW Premier Collection,bw-premier-collection,"[25,1000]",VARIABLE,7.5
OshKosh B'gosh,oshkosh-bgosh,[238],FIXED,15
OshKosh B'gosh,oshkosh-bgosh,"[10,500]",VARIABLE,7.5
The Capital Grille,the-capital-grille,"[10,250]",VARIABLE,6
Pandora Music,pandora,"[10,200]",VARIABLE,5.5
Champs Sports,champs-sports,"[10,250]",VARIABLE,5.5
Chevron,chevron,[15],FIXED,5
Chevron,chevron,"[10,500]",VARIABLE,2.5
Blaze Pizza,blaze-pizza,"[10,100]",VARIABLE,9.5
PubG Mobile,pubg-mobile,[99.99],FIXED,15
PubG Mobile,pubg-mobile,"[25,50,100,200,300,400,500]",FIXED,9
Nordstrom,nordstrom,[413],FIXED,10
Nordstrom,nordstrom,"[50,100,150,200,500]",FIXED,5
Nordstrom,nordstrom,"[10,2000]",VARIABLE,4
Babin's Seafood House,babins-seafood-house,"[25,500]",VARIABLE,10.5
Woman Within,woman-within,"[20,250]",VARIABLE,10.5
Disney Vero Beach Resort,disney-vero-beach-resort,"[50,100]",FIXED,5
Disney Vero Beach Resort,disney-vero-beach-resort,"[15,500]",VARIABLE,4
Jamba Juice,jamba-juice,"[10,50]",VARIABLE,8.5
DashPass by DoorDash,dashpass-by-doorDash,"[29.97,59.94,96]",FIXED,4.5
NHL Shop,nhl-shop,"[10,500]",VARIABLE,8.5
Residence Inn,residence-inn,"[100,250,350,500,850]",FIXED,9
Residence Inn,residence-inn,"[25,2000]",VARIABLE,4.5
babyGap,babygap,"[50,100]",FIXED,15.5
babyGap,babygap,"[10,500]",VARIABLE,7.5
AnyCard Ultimate,anycard-ultimate,"[10,500]",VARIABLE,4.5
Disney's Animal Kingdom Theme Park,disneys-animal-kingdom-theme-park,"[50,100]",FIXED,5
Disney's Animal Kingdom Theme Park,disneys-animal-kingdom-theme-park,"[15,500]",VARIABLE,4
Bass Pro Shops,bass-pro-shops,"[10,500]",VARIABLE,7.5
Happy Card/One4all - Giving Good Joy,Happy-Card-One4all-Giving-Good-Joy,"[25,500]",VARIABLE,4
TripGift,tripgift,"[50,2500]",VARIABLE,5.5
Home Depot,home-depot,"[499.99,500]",FIXED,5
Home Depot,home-depot,"[15,500]",VARIABLE,4.5
KingsIsle Wizard101,kingsisle-wizard101,[20],FIXED,8
Wawa,Wawa,"[10,250]",VARIABLE,2.5
American Red Cross - Charity on Top,american-red-cross,"[10,500]",VARIABLE,7.5
Marriott International,marriott,"[100,250,350,500,850]",FIXED,9
Marriott International,marriott,"[25,2000]",VARIABLE,4.5
Personalization Universe,personalization-universe,"[15,500]",VARIABLE,10.5
Bloomin' Brands,bloomin-brands,"[20,200]",VARIABLE,9.5
King Ranch Texas Kitchen,king-ranch-texas-kitchen,"[25,500]",VARIABLE,10.5
